c_parameter	Difficulty	W	D	L	Time
1	1	3.0	3.0	4.0	2.8665948867797852
1	2	5.0	4.0	1.0	6.540547180175781
1	3	2.0	5.0	3.0	12.258200073242188
1	4	4.0	2.0	4.0	20.594015502929686
1	5	4.0	4.0	2.0	23.016171264648438
2	1	5.0	4.0	1.0	2.9351871490478514
2	2	5.0	0.0	5.0	7.334889984130859
2	3	3.0	2.0	5.0	11.893264770507812
2	4	3.0	5.0	2.0	16.633506774902344
2	5	4.0	1.0	5.0	23.605052185058593
3	1	4.0	4.0	2.0	3.071009635925293
3	2	4.0	4.0	2.0	5.678956985473633
3	3	2.0	6.0	2.0	12.116706848144531
3	4	4.0	4.0	2.0	17.637422180175783
3	5	2.0	5.0	3.0	27.70976867675781
50	1	4.0	4.0	2.0	3.055540657043457
50	2	1.0	3.0	6.0	6.9561767578125
50	3	3.0	4.0	3.0	10.793965148925782
50	4	5.0	0.0	5.0	16.278944396972655
50	5	1.0	4.0	5.0	27.003265380859375
200	1	3.0	0.0	7.0	3.2144073486328124
200	2	2.0	4.0	4.0	7.096736145019531
200	3	2.0	4.0	4.0	11.955873107910156
200	4	4.0	2.0	4.0	19.445018005371093
200	5	3.0	3.0	4.0	24.92369842529297
1000	1	6.0	2.0	2.0	2.9399776458740234
1000	2	6.0	2.0	2.0	6.464168548583984
1000	3	1.0	4.0	5.0	11.81780776977539
1000	4	5.0	4.0	1.0	15.901821899414063
1000	5	3.0	2.0	5.0	21.084666442871093
2000	1	5.0	3.0	2.0	2.611172676086426
2000	2	6.0	3.0	1.0	6.893917083740234
2000	3	4.0	2.0	4.0	10.770948791503907
2000	4	5.0	3.0	2.0	16.69013671875
2000	5	2.0	5.0	3.0	23.04114227294922
