c_parameter	Difficulty	W	D	L	Time
2	1	100	0	0	8.625984191894531e-06
2	2	100	0	0	1.2907981872558594e-05
2	3	100	0	0	1.2359619140625e-05
2	4	100	0	0	1.2717247009277345e-05
2	5	100	0	0	1.184701919555664e-05
10	1	100	0	0	1.1913776397705078e-05
10	2	100	0	0	1.950979232788086e-05
10	3	100	0	0	1.2328624725341797e-05
10	4	100	0	0	1.2934207916259766e-05
10	5	100	0	0	6.256103515625e-06
50	1	100	0	0	9.980201721191406e-06
50	2	100	0	0	1.1203289031982422e-05
50	3	100	0	0	7.560253143310547e-06
50	4	100	0	0	7.979869842529297e-06
50	5	100	0	0	1.115560531616211e-05
100	1	100	0	0	1.5909671783447267e-05
100	2	100	0	0	8.695125579833984e-06
100	3	100	0	0	1.155853271484375e-05
100	4	100	0	0	1.0082721710205078e-05
100	5	100	0	0	8.482933044433593e-06
1000	1	100	0	0	6.427764892578125e-06
1000	2	100	0	0	1.4050006866455078e-05
1000	3	100	0	0	1.2459754943847656e-05
1000	4	100	0	0	1.3051033020019532e-05
1000	5	100	0	0	1.3930797576904297e-05
